floor,garage,m2,price,rooms,target,zone,prob
Casa,0,210,3035000,4,0,Dreta de l'Eixample,0.044
4ª,0,200,3000000,4,0,Dreta de l'Eixample,0.112
Casa,0,170,2950000,4,0,Dreta de l'Eixample,0.06
5ª,0,180,2900000,3,0,Dreta de l'Eixample,0.12
5ª,0,204,2860000,4,0,Antiga Esquerra de l'Eixample,0.166
1ª,0,254,2750000,6,0,Dreta de l'Eixample,0.13
Casa,1,254,2750000,8,0,Dreta de l'Eixample,0.148
1ª,1,280,2750000,4,0,Dreta de l'Eixample,0.126
1ª,1,225,2750000,4,0,Dreta de l'Eixample,0.196
3ª,0,253,2750000,3,0,Dreta de l'Eixample,0.058
1ª,1,254,2750000,8,0,Dreta de l'Eixample,0.128
1ª,0,254,2750000,8,0,Dreta de l'Eixample,0.136
1ª,0,254,2750000,8,0,Dreta de l'Eixample,0.136
1ª,1,203,2650000,5,0,Dreta de l'Eixample,0.258
Entreplanta,1,223,2650000,5,0,Dreta de l'Eixample,0.182
1ª,1,270,2650000,7,0,Dreta de l'Eixample,0.142
1ª,1,217,2650000,5,0,Dreta de l'Eixample,0.208
Casa,1,553,2600000,6,0,La Sagrada Família,0.302
Casa,1,567,2600000,6,0,La Sagrada Família,0.298
Casa,1,553,2600000,4,0,La Sagrada Família,0.15
Casa,1,567,2590000,6,0,Dreta de l'Eixample,0.138
3ª,0,210,2550000,3,0,Dreta de l'Eixample,0.116
3ª,0,228,2550000,3,0,Dreta de l'Eixample,0.074
3ª,0,235,2550000,3,0,Dreta de l'Eixample,0.068
Casa,0,47,175000,1,0,La Sagrada Família,0.636
3ª,0,56,175000,2,0,La Sagrada Família,0.582
3ª,0,47,179000,2,0,Nova Esquerra de l'Eixample,0.356
3ª,0,47,179000,2,0,Nova Esquerra de l'Eixample,0.356
5ª,0,30,179000,1,0,Nova Esquerra de l'Eixample,0.404
3ª,0,47,179000,2,0,Nova Esquerra de l'Eixample,0.356
3ª,0,47,179000,2,0,Nova Esquerra de l'Eixample,0.356
5ª,0,30,179000,3,0,Nova Esquerra de l'Eixample,0.428
Entreplanta,0,86,180000,3,0,Antiga Esquerra de l'Eixample,0.528
4ª,0,45,180000,1,0,La Sagrada Família,0.552
4ª,0,46,180000,1,1,Nova Esquerra de l'Eixample,0.794
Bajo,0,48,185000,3,0,La Sagrada Família,0.506
Bajo,0,45,185000,3,0,La Sagrada Família,0.51
Bajo,0,48,185000,1,0,La Sagrada Família,0.484
7ª,0,70,185000,3,0,El Fort Pienc,0.562
3ª,0,68,188000,3,0,Antiga Esquerra de l'Eixample,0.488
2ª,0,45,189000,1,0,Sant Antoni,0.446
2ª,0,45,189000,1,0,Sant Antoni,0.446
4ª,0,47,189650,2,0,Antiga Esquerra de l'Eixample,0.434
3ª,0,45,190000,1,0,Dreta de l'Eixample,0.444
2ª,0,47,190000,1,0,La Sagrada Família,0.664
Entreplanta,0,59,190000,2,0,Sant Antoni,0.386
6ª,0,45,190000,2,0,Dreta de l'Eixample,0.362
5ª,0,42,192000,3,1,La Sagrada Família,0.972
5ª,0,42,192000,1,1,La Sagrada Família,0.982
5ª,0,42,192000,1,1,La Sagrada Família,0.982
5ª,0,42,192000,1,1,La Sagrada Família,0.982
Entreplanta,0,33,195000,1,0,El Fort Pienc,0.496
2ª,0,115,780000,4,0,Nova Esquerra de l'Eixample,0.166
1ª,0,123,690000,3,0,Antiga Esquerra de l'Eixample,0.658
Casa,0,67,330000,3,0,El Fort Pienc,0.438
Entreplanta,0,75,310000,2,0,El Fort Pienc,0.552
4ª,0,118,550000,3,0,Sant Antoni,0.188
6ª,1,100,440000,3,0,Nova Esquerra de l'Eixample,0.58
2ª,0,87,444000,2,0,Nova Esquerra de l'Eixample,0.158
